Flower_x,Flower_y,Group
-0.001785714,-0.016728625,1
-0.005357143,-0.046468401,1
-0.019642857,-0.074349442,1
-0.030357143,-0.087360595,1
-0.035714286,-0.111524164,1
-0.041071429,-0.133828996,1
-0.039285714,-0.156133829,1
-0.042857143,-0.169144981,1
-0.053571429,-0.185873606,1
-0.060714286,-0.200743494,1
-0.071428571,-0.213754647,1
-0.078571429,-0.223048327,1
-0.076785714,-0.239776952,1
-0.078571429,-0.258364312,1
-0.078571429,-0.286245353,1
-0.071428571,-0.312267658,1
-0.058928571,-0.342007435,1
-0.05,-0.371747212,1
-0.044642857,-0.390334572,1
-0.039285714,-0.403345725,1
-0.032142857,-0.416356877,1
-0.017857143,-0.423791822,1
0.003571429,-0.43866171,1
0.014285714,-0.449814126,1
0.028571429,-0.462825279,1
0.041071429,-0.470260223,1
0.057142857,-0.470260223,1
0.073214286,-0.470260223,1
0.083928571,-0.466542751,1
0.098214286,-0.464684015,1
0.105357143,-0.451672862,1
0.101785714,-0.42936803,1
0.101785714,-0.418215613,1
0.105357143,-0.407063197,1
0.114285714,-0.405204461,1
0.135714286,-0.408921933,1
0.153571429,-0.399628253,1
0.175,-0.379182156,1
0.182142857,-0.349442379,1
0.192857143,-0.32527881,1
0.198214286,-0.302973978,1
0.196428571,-0.280669145,1
0.183928571,-0.267657993,1
0.176785714,-0.249070632,1
0.169642857,-0.230483271,1
0.171428571,-0.210037175,1
0.1625,-0.189591078,1
0.142857143,-0.176579926,1
0.133928571,-0.167286245,1
0.1,-0.152416357,1
0.092857143,-0.137546468,1
0.071428571,-0.126394052,1
0.064285714,-0.120817844,1
0.048214286,-0.107806691,1
0.044642857,-0.094795539,1
0.044642857,-0.07063197,1
0.0375,-0.040892193,1
0.025,-0.018587361,1
0.010714286,-0.005576208,1
-0.001785714,-0.016728625,1
0.008928571,0.001858736,2
0.023214286,-0.013011152,2
0.0375,-0.027881041,2
0.044642857,-0.046468401,2
0.053571429,-0.066914498,2
0.066071429,-0.07063197,2
0.080357143,-0.078066914,2
0.089285714,-0.098513011,2
0.108928571,-0.102230483,2
0.133928571,-0.115241636,2
0.141071429,-0.133828996,2
0.155357143,-0.144981413,2
0.167857143,-0.163568773,2
0.183928571,-0.176579926,2
0.198214286,-0.187732342,2
0.208928571,-0.195167286,2
0.210714286,-0.185873606,2
0.219642857,-0.18401487,2
0.232142857,-0.18401487,2
0.244642857,-0.187732342,2
0.258928571,-0.195167286,2
0.280357143,-0.200743494,2
0.296428571,-0.206319703,2
0.310714286,-0.206319703,2
0.325,-0.204460967,2
0.335714286,-0.197026022,2
0.348214286,-0.197026022,2
0.364285714,-0.198884758,2
0.375,-0.182156134,2
0.375,-0.163568773,2
0.3875,-0.159851301,2
0.408928571,-0.167286245,2
0.430357143,-0.169144981,2
0.4375,-0.169144981,2
0.442857143,-0.163568773,2
0.4375,-0.150557621,2
0.433928571,-0.139405204,2
0.435714286,-0.12267658,2
0.446428571,-0.115241636,2
0.453571429,-0.104089219,2
0.453571429,-0.083643123,2
0.457142857,-0.068773234,2
0.4625,-0.050185874,2
0.455357143,-0.029739777,2
0.442857143,-0.001858736,2
0.430357143,0.013011152,2
0.407142857,0.026022305,2
0.385714286,0.031598513,2
0.367857143,0.035315985,2
0.333928571,0.042750929,2
0.317857143,0.053903346,2
0.2875,0.059479554,2
0.257142857,0.066914498,2
0.228571429,0.072490706,2
0.201785714,0.068773234,2
0.1875,0.053903346,2
0.171428571,0.042750929,2
0.144642857,0.024163569,2
0.116071429,0.014869888,2
0.0875,0.007434944,2
0.069642857,0.005576208,2
0.046428571,0.005576208,2
0.0125,0.005576208,2
0.008928571,0.001858736,2
0.028571429,0.014869888,3
0.046428571,0.029739777,3
0.064285714,0.046468401,3
0.1,0.050185874,3
