Flower_x,Flower_y,Group
0,-0.007476636,1
0.005405405,-0.028037383,1
0.003603604,-0.041121495,1
0,-0.056074766,1
-0.005405405,-0.076635514,1
-0.010810811,-0.093457944,1
-0.021621622,-0.117757009,1
-0.028828829,-0.142056075,1
-0.025225225,-0.164485981,1
-0.025225225,-0.185046729,1
-0.01981982,-0.213084112,1
-0.016216216,-0.241121495,1
-0.009009009,-0.271028037,1
-0.003603604,-0.287850467,1
0.005405405,-0.312149533,1
0.01981982,-0.334579439,1
0.036036036,-0.353271028,1
0.054054054,-0.368224299,1
0.073873874,-0.375700935,1
0.095495495,-0.38317757,1
0.122522523,-0.38317757,1
0.145945946,-0.370093458,1
0.158558559,-0.347663551,1
0.174774775,-0.321495327,1
0.181981982,-0.297196262,1
0.190990991,-0.285981308,1
0.209009009,-0.28411215,1
0.234234234,-0.28411215,1
0.261261261,-0.280373832,1
0.281081081,-0.263551402,1
0.304504505,-0.239252336,1
0.313513514,-0.209345794,1
0.317117117,-0.175700935,1
0.302702703,-0.147663551,1
0.284684685,-0.121495327,1
0.257657658,-0.106542056,1
0.228828829,-0.082242991,1
0.201801802,-0.063551402,1
0.176576577,-0.046728972,1
0.142342342,-0.024299065,1
0.111711712,-0.011214953,1
0.077477477,0.001869159,1
0.03963964,0.009345794,1
0.005405405,0.011214953,1
0,-0.007476636,1
0.001801802,0.011214953,2
0.037837838,0.009345794,2
0.077477477,0.003738318,2
0.111711712,-0.011214953,2
0.133333333,-0.009345794,2
0.151351351,-0.007476636,2
0.178378378,-0.003738318,2
0.207207207,0.003738318,2
0.234234234,0.014953271,2
0.263063063,0.026168224,2
0.286486486,0.037383178,2
0.304504505,0.05046729,2
0.320720721,0.06728972,2
0.338738739,0.087850467,2
0.347747748,0.106542056,2
0.351351351,0.130841121,2
0.356756757,0.153271028,2
0.356756757,0.170093458,2
0.353153153,0.192523364,2
0.336936937,0.2,2
0.318918919,0.213084112,2
0.291891892,0.21682243,2
0.264864865,0.222429907,2
0.246846847,0.237383178,2
0.246846847,0.256074766,2
0.236036036,0.287850467,2
0.221621622,0.314018692,2
0.214414414,0.328971963,2
0.196396396,0.345794393,2
0.18018018,0.355140187,2
0.162162162,0.357009346,2
0.144144144,0.357009346,2
0.127927928,0.351401869,2
0.115315315,0.340186916,2
0.104504505,0.325233645,2
0.088288288,0.304672897,2
0.079279279,0.291588785,2
0.07027027,0.280373832,2
0.052252252,0.259813084,2
0.03963964,0.231775701,2
0.032432432,0.211214953,2
0.023423423,0.194392523,2
0.021621622,0.170093458,2
0.01981982,0.136448598,2
0.01981982,0.117757009,2
0.018018018,0.095327103,2
0.014414414,0.06728972,2
0.010810811,0.05046729,2
0.001801802,0.028037383,2
0.001801802,0.011214953,2
0.001801802,0.007476636,3
0.003603604,0.031775701,3
0.009009009,0.05046729,3
0.014414414,0.069158879,3
0.016216216,0.097196262,3
0.01981982,0.117757009,3
0.01981982,0.142056075,3
0.023423423,0.168224299,3
0.021621622,0.190654206,3
0.01981982,0.213084112,3
0.018018018,0.237383178,3
0.010810811,0.259813084,3
0.005405405,0.28411215,3
-0.007207207,0.323364486,3
-0.021621622,0.347663551,3
-0.037837838,0.36635514,3
-0.05045045,0.38317757,3
-0.068468468,0.390654206,3
-0.086486486,0.390654206,3
-0.102702703,0.390654206,3
-0.120720721,0.38317757,3
-0.131531532,0.370093458,3
-0.144144144,0.355140187,3
-0.156756757,0.338317757,3
-0.171171171,0.319626168,3
-0.181981982,0.300934579,3
-0.189189189,0.291588785,3
-0.2,0.291588785,3
-0.257657658,0.291588785,3
-0.27027027,0.280373832,3
-0.284684685,0.272897196,3
-0.297297297,0.256074766,3
-0.306306306,0.237383178,3
-0.313513514,0.218691589,3
-0.313513514,0.2,3
-0.30990991,0.179439252,3
-0.295495495,0.151401869,3
-0.279279279,0.134579439,3
-0.263063063,0.114018692,3
-0.25045045,0.091588785,3
-0.232432432,0.080373832,3
-0.210810811,0.063551402,3
-0.189189189,0.048598131,3
-0.172972973,0.037383178,3
-0.153153153,0.029906542,3
-0.138738739,0.022429907,3
-0.111711712,0.007476636,3
-0.084684685,0,3
-0.05045045,-0.007476636,3
-0.018018018,-0.003738318,3
-0.007207207,-0.003738318,3
0.001801802,0.007476636,3
-0.007207207,-0.001869159,4
-0.045045045,-0.007476636,4
-0.066666667,-0.005607477,4
-0.088288288,0,4
-0.111711712,0.007476636,4
-0.140540541,0.020560748,4
-0.154954955,0.029906542,4
-0.18018018,0.026168224,4
-0.214414414,0.024299065,4
-0.236036036,0.020560748,4
-0.272072072,0.01682243,4
-0.29009009,0.007476636,4
-0.317117117,0,4
-0.333333333,-0.011214953,4
-0.36036036,-0.029906542,4
-0.371171171,-0.048598131,4
-0.371171171,-0.072897196,4
-0.372972973,-0.097196262,4
-0.363963964,-0.125233645,4
-0.34954955,-0.143925234,4
-0.333333333,-0.160747664,4
-0.315315315,-0.173831776,4
-0.291891892,-0.185046729,4
-0.284684685,-0.192523364,4
-0.282882883,-0.209345794,4
-0.281081081,-0.237383178,4
-0.279279279,-0.261682243,4
-0.272072072,-0.274766355,4
-0.263063063,-0.287850467,4
-0.25045045,-0.302803738,4
-0.230630631,-0.314018692,4
-0.21981982,-0.321495327,4
-0.198198198,-0.327102804,4
-0.18018018,-0.327102804,4
-0.158558559,-0.31588785,4
-0.140540541,-0.297196262,4
-0.126126126,-0.285981308,4
-0.102702703,-0.259813084,4
-0.091891892,-0.235514019,4
-0.063063063,-0.2,4
-0.052252252,-0.175700935,4
-0.036036036,-0.14953271,4
-0.023423423,-0.125233645,4
-0.012612613,-0.100934579,4
-0.005405405,-0.078504673,4
-0.001801802,-0.056074766,4
0.003603604,-0.039252336,4
0.001801802,-0.018691589,4
-0.007207207,-0.001869159,4
